Observation,Data_Marking,Observation_Type_Value,Dimension_Hierarchy_1,Dimension_Name_1,Dimension_Value_1,Dimension_Hierarchy_2,Dimension_Name_2,Dimension_Value_2,Dimension_Hierarchy_3,Dimension_Name_3,Dimension_Value_3,Dimension_Hierarchy_4,Dimension_Name_4,Dimension_Value_4
850642,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008485,CL_0000737,Prodcom Elements,CI_0021509
332605,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008485,CL_0000737,Prodcom Elements,CI_0021512
473,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008485,CL_0000737,Prodcom Elements,CI_0021513
79801,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008485,CL_0000737,Prodcom Elements,CI_0021515
-54969,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008485,CL_0000737,Prodcom Elements,CI_0021516
1897830,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008485,CL_0000737,Prodcom Elements,CI_0021517
1951744,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008494,CL_0000737,Prodcom Elements,CI_0021509
6919,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008494,CL_0000737,Prodcom Elements,CI_0021510
1958663,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008494,CL_0000737,Prodcom Elements,CI_0021511
137743,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008494,CL_0000737,Prodcom Elements,CI_0021512
269,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008494,CL_0000737,Prodcom Elements,CI_0021515
-577144,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008494,CL_0000737,Prodcom Elements,CI_0021516
1523320,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008494,CL_0000737,Prodcom Elements,CI_0021517
3115267,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008503,CL_0000737,Prodcom Elements,CI_0021509
805,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008503,CL_0000737,Prodcom Elements,CI_0021510
3116072,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008503,CL_0000737,Prodcom Elements,CI_0021511
146385,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008503,CL_0000737,Prodcom Elements,CI_0021512
62,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008503,CL_0000737,Prodcom Elements,CI_0021513
613,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008503,CL_0000737,Prodcom Elements,CI_0021514
5238,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008503,CL_0000737,Prodcom Elements,CI_0021515
170451,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008503,CL_0000737,Prodcom Elements,CI_0021516
3438821,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008503,CL_0000737,Prodcom Elements,CI_0021517
0,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008510,CL_0000737,Prodcom Elements,CI_0021509
17989,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008510,CL_0000737,Prodcom Elements,CI_0021510
17989,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008510,CL_0000737,Prodcom Elements,CI_0021511
0,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008510,CL_0000737,Prodcom Elements,CI_0021513
0,,,2011STATH,Geographic_Area,K04000001,time,Year,2014,CL_0001480,NACE,CI_0008510,CL_0000737,Prodcom Elements,CI_0021515
